Location_Renamed,Location,Type_1,Type_2,Quarter,GDP_Quarterly
National Capital Region,NCR,Industry,Industry,2023Q1,1300000000
National Capital Region,NCR,Industry,Industry,2023Q2,1316679688
National Capital Region,NCR,Industry,Industry,2023Q3,1334062500
National Capital Region,NCR,Industry,Industry,2023Q4,1351914063
National Capital Region,NCR,Industry,Industry,2024Q1,1370000000
National Capital Region,NCR,Industry,Industry,2024Q2,1388085938
National Capital Region,NCR,Industry,Industry,2024Q3,1405937500
National Capital Region,NCR,Industry,Industry,2024Q4,1423320313
National Capital Region,NCR,Industry,Industry,2025Q1,1440000000
National Capital Region,NCR,Industry,Industry,2025Q2,1455742188
National Capital Region,NCR,Industry,Industry,2025Q3,1470312500
National Capital Region,NCR,Industry,Industry,2025Q4,1483476563
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q1,1275000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q2,1297070313
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q3,1324062500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q4,1355273438
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q1,1390000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q2,1427539063
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q3,1467187500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q4,1508242188
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q1,1550000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q2,1591757813
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q3,1632812500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q4,1672460938
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q1,1710000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q2,1744960938
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q3,1777812500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q4,1809257813
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q1,1840000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q2,1870742188
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q3,1902187500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q4,1935039063
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q1,1970000000
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q2,2007773438
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q3,2049062500
National Capital Region,NCR,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q4,2094570313
National Capital Region,NCR,Services,02. Transportation and storage,2020Q1,118000000
National Capital Region,NCR,Services,02. Transportation and storage,2020Q2,119968750
National Capital Region,NCR,Services,02. Transportation and storage,2020Q3,123250000
National Capital Region,NCR,Services,02. Transportation and storage,2020Q4,127656250
National Capital Region,NCR,Services,02. Transportation and storage,2021Q1,133000000
National Capital Region,NCR,Services,02. Transportation and storage,2021Q2,139093750
National Capital Region,NCR,Services,02. Transportation and storage,2021Q3,145750000
National Capital Region,NCR,Services,02. Transportation and storage,2021Q4,152781250
National Capital Region,NCR,Services,02. Transportation and storage,2022Q1,160000000
National Capital Region,NCR,Services,02. Transportation and storage,2022Q2,167218750
National Capital Region,NCR,Services,02. Transportation and storage,2022Q3,174250000
National Capital Region,NCR,Services,02. Transportation and storage,2022Q4,180906250
National Capital Region,NCR,Services,02. Transportation and storage,2023Q1,187000000
National Capital Region,NCR,Services,02. Transportation and storage,2023Q2,192406250
National Capital Region,NCR,Services,02. Transportation and storage,2023Q3,197250000
National Capital Region,NCR,Services,02. Transportation and storage,2023Q4,201718750
National Capital Region,NCR,Services,02. Transportation and storage,2024Q1,206000000
National Capital Region,NCR,Services,02. Transportation and storage,2024Q2,210281250
National Capital Region,NCR,Services,02. Transportation and storage,2024Q3,214750000
National Capital Region,NCR,Services,02. Transportation and storage,2024Q4,219593750
National Capital Region,NCR,Services,02. Transportation and storage,2025Q1,225000000
National Capital Region,NCR,Services,02. Transportation and storage,2025Q2,231156250
National Capital Region,NCR,Services,02. Transportation and storage,2025Q3,238250000
National Capital Region,NCR,Services,02. Transportation and storage,2025Q4,246468750
National Capital Region,NCR,Services,03. Accommodation and food service activities,2020Q1,49551078
National Capital Region,NCR,Services,03. Accommodation and food service activities,2020Q2,49384218.7
National Capital Region,NCR,Services,03. Accommodation and food service activities,2020Q3,50660381.63
National Capital Region,NCR,Services,03. Accommodation and food service activities,2020Q4,53173420.73
National Capital Region,NCR,Services,03. Accommodation and food service activities,2021Q1,56717190
National Capital Region,NCR,Services,03. Accommodation and food service activities,2021Q2,61085543.39
National Capital Region,NCR,Services,03. Accommodation and food service activities,2021Q3,66072334.88
National Capital Region,NCR,Services,03. Accommodation and food service activities,2021Q4,71471418.42
National Capital Region,NCR,Services,03. Accommodation and food service activities,2022Q1,77076648
National Capital Region,NCR,Services,03. Accommodation and food service activities,2022Q2,82681877.58
National Capital Region,NCR,Services,03. Accommodation and food service activities,2022Q3,88080961.13
National Capital Region,NCR,Services,03. Accommodation and food service activities,2022Q4,93067752.61
National Capital Region,NCR,Services,03. Accommodation and food service activities,2023Q1,97436106
National Capital Region,NCR,Services,03. Accommodation and food service activities,2023Q2,101048590.6
National Capital Region,NCR,Services,03. Accommodation and food service activities,2023Q3,104042637.1
National Capital Region,NCR,Services,03. Accommodation and food service activities,2023Q4,106624391.6
National Capital Region,NCR,Services,03. Accommodation and food service activities,2024Q1,109000000
National Capital Region,NCR,Services,03. Accommodation and food service activities,2024Q2,111375608.4
National Capital Region,NCR,Services,03. Accommodation and food service activities,2024Q3,113957362.9
National Capital Region,NCR,Services,03. Accommodation and food service activities,2024Q4,116951409.4
National Capital Region,NCR,Services,03. Accommodation and food service activities,2025Q1,120563894
National Capital Region,NCR,Services,03. Accommodation and food service activities,2025Q2,125000962.7
National Capital Region,NCR,Services,03. Accommodation and food service activities,2025Q3,130468761.6
National Capital Region,NCR,Services,03. Accommodation and food service activities,2025Q4,137173436.7
National Capital Region,NCR,Services,04. Information and communication,2020Q1,152500000
National Capital Region,NCR,Services,04. Information and communication,2020Q2,154597656.3
National Capital Region,NCR,Services,04. Information and communication,2020Q3,156531250
National Capital Region,NCR,Services,04. Information and communication,2020Q4,158324218.8
National Capital Region,NCR,Services,04. Information and communication,2021Q1,160000000
National Capital Region,NCR,Services,04. Information and communication,2021Q2,161582031.3
National Capital Region,NCR,Services,04. Information and communication,2021Q3,163093750
National Capital Region,NCR,Services,04. Information and communication,2021Q4,164558593.8
National Capital Region,NCR,Services,04. Information and communication,2022Q1,166000000
National Capital Region,NCR,Services,04. Information and communication,2022Q2,167441406.3
National Capital Region,NCR,Services,04. Information and communication,2022Q3,168906250
National Capital Region,NCR,Services,04. Information and communication,2022Q4,170417968.8
National Capital Region,NCR,Services,04. Information and communication,2023Q1,172000000
National Capital Region,NCR,Services,04. Information and communication,2023Q2,173667968.8
National Capital Region,NCR,Services,04. Information and communication,2023Q3,175406250
National Capital Region,NCR,Services,04. Information and communication,2023Q4,177191406.3
National Capital Region,NCR,Services,04. Information and communication,2024Q1,179000000
National Capital Region,NCR,Services,04. Information and communication,2024Q2,180808593.8
National Capital Region,NCR,Services,04. Information and communication,2024Q3,182593750
National Capital Region,NCR,Services,04. Information and communication,2024Q4,184332031.3
National Capital Region,NCR,Services,04. Information and communication,2025Q1,186000000
National Capital Region,NCR,Services,04. Information and communication,2025Q2,187574218.8
National Capital Region,NCR,Services,04. Information and communication,2025Q3,189031250
National Capital Region,NCR,Services,04. Information and communication,2025Q4,190347656.3
National Capital Region,NCR,Services,05. Financial and insurance activities,2020Q1,975000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2020Q2,1016523438
National Capital Region,NCR,Services,05. Financial and insurance activities,2020Q3,1059687500
National Capital Region,NCR,Services,05. Financial and insurance activities,2020Q4,1104257813
National Capital Region,NCR,Services,05. Financial and insurance activities,2021Q1,1150000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2021Q2,1196679688
National Capital Region,NCR,Services,05. Financial and insurance activities,2021Q3,1244062500
National Capital Region,NCR,Services,05. Financial and insurance activities,2021Q4,1291914063
National Capital Region,NCR,Services,05. Financial and insurance activities,2022Q1,1340000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2022Q2,1388085938
National Capital Region,NCR,Services,05. Financial and insurance activities,2022Q3,1435937500
National Capital Region,NCR,Services,05. Financial and insurance activities,2022Q4,1483320313
National Capital Region,NCR,Services,05. Financial and insurance activities,2023Q1,1530000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2023Q2,1575820313
National Capital Region,NCR,Services,05. Financial and insurance activities,2023Q3,1620937500
National Capital Region,NCR,Services,05. Financial and insurance activities,2023Q4,1665585938
National Capital Region,NCR,Services,05. Financial and insurance activities,2024Q1,1710000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2024Q2,1754414063
National Capital Region,NCR,Services,05. Financial and insurance activities,2024Q3,1799062500
National Capital Region,NCR,Services,05. Financial and insurance activities,2024Q4,1844179688
National Capital Region,NCR,Services,05. Financial and insurance activities,2025Q1,1890000000
National Capital Region,NCR,Services,05. Financial and insurance activities,2025Q2,1936757813
National Capital Region,NCR,Services,05. Financial and insurance activities,2025Q3,1984687500
National Capital Region,NCR,Services,05. Financial and insurance activities,2025Q4,2034023438
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2020Q1,354000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2020Q2,361859375
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2020Q3,370375000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2020Q4,379453125
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2021Q1,389000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2021Q2,398921875
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2021Q3,409125000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2021Q4,419515625
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2022Q1,430000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2022Q2,440484375
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2022Q3,450875000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2022Q4,461078125
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2023Q1,471000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2023Q2,480578125
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2023Q3,489875000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2023Q4,498984375
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2024Q1,508000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2024Q2,517015625
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2024Q3,526125000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2024Q4,535421875
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2025Q1,545000000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2025Q2,554953125
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2025Q3,565375000
National Capital Region,NCR,Services,06. Real estate and ownership of dwellings,2025Q4,576359375
National Capital Region,NCR,Services,07. Professional and business services,2020Q1,703000000
National Capital Region,NCR,Services,07. Professional and business services,2020Q2,734507812.5
National Capital Region,NCR,Services,07. Professional and business services,2020Q3,763062500
National Capital Region,NCR,Services,07. Professional and business services,2020Q4,789085937.5
National Capital Region,NCR,Services,07. Professional and business services,2021Q1,813000000
National Capital Region,NCR,Services,07. Professional and business services,2021Q2,835226562.5
National Capital Region,NCR,Services,07. Professional and business services,2021Q3,856187500
National Capital Region,NCR,Services,07. Professional and business services,2021Q4,876304687.5
National Capital Region,NCR,Services,07. Professional and business services,2022Q1,896000000
National Capital Region,NCR,Services,07. Professional and business services,2022Q2,915695312.5
National Capital Region,NCR,Services,07. Professional and business services,2022Q3,935812500
National Capital Region,NCR,Services,07. Professional and business services,2022Q4,956773437.5
National Capital Region,NCR,Services,07. Professional and business services,2023Q1,979000000
National Capital Region,NCR,Services,07. Professional and business services,2023Q2,1002773438
National Capital Region,NCR,Services,07. Professional and business services,2023Q3,1027812500
National Capital Region,NCR,Services,07. Professional and business services,2023Q4,1053695313
National Capital Region,NCR,Services,07. Professional and business services,2024Q1,1080000000
National Capital Region,NCR,Services,07. Professional and business services,2024Q2,1106304688
National Capital Region,NCR,Services,07. Professional and business services,2024Q3,1132187500
National Capital Region,NCR,Services,07. Professional and business services,2024Q4,1157226563
National Capital Region,NCR,Services,07. Professional and business services,2025Q1,1181000000
National Capital Region,NCR,Services,07. Professional and business services,2025Q2,1203085938
National Capital Region,NCR,Services,07. Professional and business services,2025Q3,1223062500
National Capital Region,NCR,Services,07. Professional and business services,2025Q4,1240507813
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2020Q1,569000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2020Q2,585453125
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2020Q3,598625000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2020Q4,608984375
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2021Q1,617000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2021Q2,623140625
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2021Q3,627875000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2021Q4,631671875
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2022Q1,635000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2022Q2,638328125
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2022Q3,642125000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2022Q4,646859375
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2023Q1,653000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2023Q2,660859375
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2023Q3,670125000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2023Q4,680328125
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2024Q1,691000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2024Q2,701671875
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2024Q3,711875000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2024Q4,721140625
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2025Q1,729000000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2025Q2,734984375
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2025Q3,738625000
National Capital Region,NCR,Services,"08. Public administration and defense; 
  compulsory social security",2025Q4,739453125
National Capital Region,NCR,Services,09. Education,2020Q1,111000000
National Capital Region,NCR,Services,09. Education,2020Q2,114054687.5
National Capital Region,NCR,Services,09. Education,2020Q3,117437500
National Capital Region,NCR,Services,09. Education,2020Q4,121101562.5
National Capital Region,NCR,Services,09. Education,2021Q1,125000000
National Capital Region,NCR,Services,09. Education,2021Q2,129085937.5
National Capital Region,NCR,Services,09. Education,2021Q3,133312500
National Capital Region,NCR,Services,09. Education,2021Q4,137632812.5
National Capital Region,NCR,Services,09. Education,2022Q1,142000000
National Capital Region,NCR,Services,09. Education,2022Q2,146367187.5
National Capital Region,NCR,Services,09. Education,2022Q3,150687500
National Capital Region,NCR,Services,09. Education,2022Q4,154914062.5
National Capital Region,NCR,Services,09. Education,2023Q1,159000000
National Capital Region,NCR,Services,09. Education,2023Q2,162914062.5
National Capital Region,NCR,Services,09. Education,2023Q3,166687500
National Capital Region,NCR,Services,09. Education,2023Q4,170367187.5
National Capital Region,NCR,Services,09. Education,2024Q1,174000000
National Capital Region,NCR,Services,09. Education,2024Q2,177632812.5
National Capital Region,NCR,Services,09. Education,2024Q3,181312500
National Capital Region,NCR,Services,09. Education,2024Q4,185085937.5
National Capital Region,NCR,Services,09. Education,2025Q1,189000000
National Capital Region,NCR,Services,09. Education,2025Q2,193101562.5
National Capital Region,NCR,Services,09. Education,2025Q3,197437500
National Capital Region,NCR,Services,09. Education,2025Q4,202054687.5
National Capital Region,NCR,Services,10. Human health and social work activities,2020Q1,94500000
National Capital Region,NCR,Services,10. Human health and social work activities,2020Q2,99347656.25
National Capital Region,NCR,Services,10. Human health and social work activities,2020Q3,104031250
National Capital Region,NCR,Services,10. Human health and social work activities,2020Q4,108574218.8
National Capital Region,NCR,Services,10. Human health and social work activities,2021Q1,113000000
National Capital Region,NCR,Services,10. Human health and social work activities,2021Q2,117332031.3
National Capital Region,NCR,Services,10. Human health and social work activities,2021Q3,121593750
National Capital Region,NCR,Services,10. Human health and social work activities,2021Q4,125808593.8
National Capital Region,NCR,Services,10. Human health and social work activities,2022Q1,130000000
National Capital Region,NCR,Services,10. Human health and social work activities,2022Q2,134191406.3
National Capital Region,NCR,Services,10. Human health and social work activities,2022Q3,138406250
National Capital Region,NCR,Services,10. Human health and social work activities,2022Q4,142667968.8
National Capital Region,NCR,Services,10. Human health and social work activities,2023Q1,147000000
National Capital Region,NCR,Services,10. Human health and social work activities,2023Q2,151417968.8
National Capital Region,NCR,Services,10. Human health and social work activities,2023Q3,155906250
National Capital Region,NCR,Services,10. Human health and social work activities,2023Q4,160441406.3
National Capital Region,NCR,Services,10. Human health and social work activities,2024Q1,165000000
National Capital Region,NCR,Services,10. Human health and social work activities,2024Q2,169558593.8
National Capital Region,NCR,Services,10. Human health and social work activities,2024Q3,174093750
National Capital Region,NCR,Services,10. Human health and social work activities,2024Q4,178582031.3
National Capital Region,NCR,Services,10. Human health and social work activities,2025Q1,183000000
National Capital Region,NCR,Services,10. Human health and social work activities,2025Q2,187324218.8
National Capital Region,NCR,Services,10. Human health and social work activities,2025Q3,191531250
National Capital Region,NCR,Services,10. Human health and social work activities,2025Q4,195597656.3
National Capital Region,NCR,Services,11. Other services,2020Q1,85000000
National Capital Region,NCR,Services,11. Other services,2020Q2,85828125
National Capital Region,NCR,Services,11. Other services,2020Q3,88625000
National Capital Region,NCR,Services,11. Other services,2020Q4,93109375
National Capital Region,NCR,Services,11. Other services,2021Q1,99000000
National Capital Region,NCR,Services,11. Other services,2021Q2,106015625
National Capital Region,NCR,Services,11. Other services,2021Q3,113875000
National Capital Region,NCR,Services,11. Other services,2021Q4,122296875
National Capital Region,NCR,Services,11. Other services,2022Q1,131000000
National Capital Region,NCR,Services,11. Other services,2022Q2,139703125
National Capital Region,NCR,Services,11. Other services,2022Q3,148125000
National Capital Region,NCR,Services,11. Other services,2022Q4,155984375
National Capital Region,NCR,Services,11. Other services,2023Q1,163000000
National Capital Region,NCR,Services,11. Other services,2023Q2,168984375
National Capital Region,NCR,Services,11. Other services,2023Q3,174125000
National Capital Region,NCR,Services,11. Other services,2023Q4,178703125
National Capital Region,NCR,Services,11. Other services,2024Q1,183000000
National Capital Region,NCR,Services,11. Other services,2024Q2,187296875
National Capital Region,NCR,Services,11. Other services,2024Q3,191875000
National Capital Region,NCR,Services,11. Other services,2024Q4,197015625
National Capital Region,NCR,Services,11. Other services,2025Q1,203000000
National Capital Region,NCR,Services,11. Other services,2025Q2,210109375
National Capital Region,NCR,Services,11. Other services,2025Q3,218625000
National Capital Region,NCR,Services,11. Other services,2025Q4,228828125
National Capital Region,NCR,Services,Services,2020Q1,4495000000
National Capital Region,NCR,Services,Services,2020Q2,4610664063
National Capital Region,NCR,Services,Services,2020Q3,4737812500
National Capital Region,NCR,Services,Services,2020Q4,4874804688
National Capital Region,NCR,Services,Services,2021Q1,5020000000
National Capital Region,NCR,Services,Services,2021Q2,5171757813
National Capital Region,NCR,Services,Services,2021Q3,5328437500
National Capital Region,NCR,Services,Services,2021Q4,5488398438
National Capital Region,NCR,Services,Services,2022Q1,5650000000
National Capital Region,NCR,Services,Services,2022Q2,5811601563
National Capital Region,NCR,Services,Services,2022Q3,5971562500
National Capital Region,NCR,Services,Services,2022Q4,6128242188
National Capital Region,NCR,Services,Services,2023Q1,6280000000
National Capital Region,NCR,Services,Services,2023Q2,6425742188
National Capital Region,NCR,Services,Services,2023Q3,6566562500
National Capital Region,NCR,Services,Services,2023Q4,6704101563
National Capital Region,NCR,Services,Services,2024Q1,6840000000
National Capital Region,NCR,Services,Services,2024Q2,6975898438
National Capital Region,NCR,Services,Services,2024Q3,7113437500
National Capital Region,NCR,Services,Services,2024Q4,7254257813
National Capital Region,NCR,Services,Services,2025Q1,7400000000
National Capital Region,NCR,Services,Services,2025Q2,7552304688
National Capital Region,NCR,Services,Services,2025Q3,7712812500
National Capital Region,NCR,Services,Services,2025Q4,7883164063
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q1,99191180
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q2,89623510.78
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q3,83863056.25
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q4,81365928.59
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q1,81588240
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q2,83986102.66
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q3,88015628.75
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q4,93132930.47
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q1,98794120
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q2,104455309.5
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q3,109572611.3
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q4,113602137.3
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q1,116000000
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q2,116403607.3
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q3,115175551.3
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q4,112859719.5
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q1,110000000
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q2,107140280.5
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q3,104824448.8
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q4,103596392.7
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q1,104000000
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q2,106579158.6
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q3,111877756.3
Negros Island Region (NIR),NIR,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q4,120439680.8
Negros Island Region (NIR),NIR,All,All,2020Q1,493500000
Negros Island Region (NIR),NIR,All,All,2020Q2,501113281.3
Negros Island Region (NIR),NIR,All,All,2020Q3,513156250
Negros Island Region (NIR),NIR,All,All,2020Q4,528996093.8
Negros Island Region (NIR),NIR,All,All,2021Q1,548000000
Negros Island Region (NIR),NIR,All,All,2021Q2,569535156.3
Negros Island Region (NIR),NIR,All,All,2021Q3,592968750
Negros Island Region (NIR),NIR,All,All,2021Q4,617667968.8
Negros Island Region (NIR),NIR,All,All,2022Q1,643000000
Negros Island Region (NIR),NIR,All,All,2022Q2,668332031.3
Negros Island Region (NIR),NIR,All,All,2022Q3,693031250
Negros Island Region (NIR),NIR,All,All,2022Q4,716464843.8
Negros Island Region (NIR),NIR,All,All,2023Q1,738000000
Negros Island Region (NIR),NIR,All,All,2023Q2,757214843.8
Negros Island Region (NIR),NIR,All,All,2023Q3,774531250
Negros Island Region (NIR),NIR,All,All,2023Q4,790582031.3
Negros Island Region (NIR),NIR,All,All,2024Q1,806000000
Negros Island Region (NIR),NIR,All,All,2024Q2,821417968.8
Negros Island Region (NIR),NIR,All,All,2024Q3,837468750
Negros Island Region (NIR),NIR,All,All,2024Q4,854785156.3
Negros Island Region (NIR),NIR,All,All,2025Q1,874000000
Negros Island Region (NIR),NIR,All,All,2025Q2,895746093.8
Negros Island Region (NIR),NIR,All,All,2025Q3,920656250
Negros Island Region (NIR),NIR,All,All,2025Q4,949363281.3
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2020Q1,2739129
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2020Q2,2797698.539
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2020Q3,2873966.813
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2020Q4,2965405.43
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2021Q1,3069486
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2021Q2,3183680.133
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2021Q3,3305459.438
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2021Q4,3432295.523
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2022Q1,3561660
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2022Q2,3691024.477
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2022Q3,3817860.563
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2022Q4,3939639.867
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2023Q1,4053834
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2023Q2,4158757.367
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2023Q3,4256095.563
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2023Q4,4348376.977
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2024Q1,4438130
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2024Q2,4527883.023
Negros Island Region (NIR),NIR,Industry,01. Mining and quarrying,2024Q3,4620164.438
